Unnamed: 0,price,condition,district,max_floor,street,num_rooms,region,area,url,num_bathrooms,building_type,floor,ceiling_height
6466,139809,good,Center,11,Hanrapetutyan St,3,Yerevan,100,http://www.myrealty.am/en/item/24223/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,2,2.8
3678,81334,good,Center,11,NarDos St,2,Yerevan,48,http://www.myrealty.am/en/item/36357/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,10,2.8
2505,69793,good,Qanaqer-Zeytun,6,M. Avetisyan St,4,Yerevan,90,http://www.myrealty.am/en/item/7223/4-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,stone,5,2.8
6637,76358,good,Center,10,E. Qochar St,2,Yerevan,69,http://www.myrealty.am/en/item/25110/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,panel,8,2.8
1976,120533,newly repaired,Center,13,Sayat Nova Ave,3,Yerevan,75,http://www.myrealty.am/en/item/31937/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,8,2.8
2833,53551,good,Nor Norq,6,Norq 4 p,3,Yerevan,74,http://www.myrealty.am/en/item/35585/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,4,2.8
6621,186016,good,Center,6,Abovyan St,4,Yerevan,128,http://www.myrealty.am/en/item/22718/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,2.8
2738,103348,good,Center,13,Abovyan St,2,Yerevan,75,http://www.myrealty.am/en/item/18903/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,10,2.8
697,208465,newly repaired,Center,11,Charents St,4,Yerevan,124,http://www.myrealty.am/en/item/33735/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,other,6,3
1177,160555,good,Center,6,Abovyan St,3,Yerevan,83,http://www.myrealty.am/en/item/33872/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,5,2.8
2780,237429,zero condition,Center,15,Abovyan St,3,Yerevan,106,http://www.myrealty.am/en/item/32848/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,3,3
4351,70701,good,Arabkir,6,N. Zaryan St,2,Yerevan,60,http://www.myrealty.am/en/item/22273/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,3
4565,272546,good,Center,15,Buzand St,4,Yerevan,135,http://www.myrealty.am/en/item/34222/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,monolit,7,3.2
1121,90689,good,Arabkir,10,Baghramyan av(Arabkir),3,Yerevan,90,http://www.myrealty.am/en/item/24386/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,7,2.8
5496,50095,newly repaired,Avan,11,Tsarav Aghbyur St,2,Yerevan,52,http://www.myrealty.am/en/item/34919/2-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,monolit,6,2.8
727,50589,good,Achapnyak,15,Halabyan St,2,Yerevan,64,http://www.myrealty.am/en/item/21243/2-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,11,2.8
5416,48283,newly repaired,Malatia-Sebastia,10,Svachyan str,3,Yerevan,73,http://www.myrealty.am/en/item/21670/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,7,2.8
4983,56588,newly repaired,Avan,10,Duryan disrtict,3,Yerevan,72,http://www.myrealty.am/en/item/30128/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,2,panel,3,2.8
6511,40135,newly repaired,Arabkir,6,Komitas Ave,1,Yerevan,30,http://www.myrealty.am/en/item/7861/apartment-for-sale-in-Yerevan,1,stone,3,2.8
1475,52273,good,Nor Norq,17,Muradyan St,3,Yerevan,90,http://www.myrealty.am/en/item/35590/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,6,2.8
4335,66388,newly repaired,Arabkir,14,A.Tigranyan St,1,Yerevan,100,http://www.myrealty.am/en/item/24093/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,other,7,2.8
4302,65929,newly repaired,Center,6,Tigran Mets Ave,2,Yerevan,65,http://www.myrealty.am/en/item/22523/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,5,2.8
5219,55488,newly repaired,Qanaqer-Zeytun,6,Rubinyants St,2,Yerevan,70,http://www.myrealty.am/en/item/35496/2-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,stone,5,2.8
2339,120590,newly repaired,Center,13,M.Khorenatsi St,4,Yerevan,115,http://www.myrealty.am/en/item/15098/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,panel,7,2.8
514,88607,newly repaired,Center,5,Charents St,3,Yerevan,106,http://www.myrealty.am/en/item/31226/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,stone,4,3
5698,100223,newly repaired,Davtashen,4,Dzor 1 district,3,Yerevan,87,http://www.myrealty.am/en/item/25743/3-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,monolit,2,3.2
1397,161401,newly repaired,Center,6,Tigran Mets Ave,3,Yerevan,88,http://www.myrealty.am/en/item/25171/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,5,3
1991,50939,newly repaired,Malatia-Sebastia,10,A. Babajanyan St,3,Yerevan,75,http://www.myrealty.am/en/item/24125/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,6,2.8
4525,58169,newly repaired,Avan,10,Avan-Arinj 2 micro,3,Yerevan,80,http://www.myrealty.am/en/item/21109/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,9,2.8
1833,131718,good,Center,12,Koghbatsi St,4,Yerevan,110,http://www.myrealty.am/en/item/35243/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,4,2.8
4093,99442,newly repaired,Avan,4,Tsarav Aghbyur St,3,Yerevan,78,http://www.myrealty.am/en/item/8419/3-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,monolit,2,3
713,238456,newly repaired,Center,5,Tumanyan St,3,Yerevan,147,http://www.myrealty.am/en/item/22756/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,stone,4,3.2
3840,81121,newly repaired,Arabkir,5,Komitas Ave,3,Yerevan,80,http://www.myrealty.am/en/item/23702/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,3,2.8
3963,73950,newly repaired,Malatia-Sebastia,10,Gusan Sheram St,4,Yerevan,92,http://www.myrealty.am/en/item/25588/4-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,other,5,2.8
2085,98249,good,Center,6,Mashtots Ave,2,Yerevan,68,http://www.myrealty.am/en/item/16238/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,3.2
6798,49212,zero condition,Malatia-Sebastia,10,Raffi St,3,Yerevan,85,http://www.myrealty.am/en/item/35762/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,2,panel,7,2.8
1352,140416,good,Center,5,Sayat Nova Ave,3,Yerevan,96,http://www.myrealty.am/en/item/37073/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,3.2
3930,73863,good,Davtashen,10,Davtashen 2 district,4,Yerevan,93,http://www.myrealty.am/en/item/21618/4-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,3,2.8
2618,105583,newly repaired,Center,10,Hanrapetutyan St,3,Yerevan,92,http://www.myrealty.am/en/item/37393/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,1,2.8
4720,117544,good,Center,12,Koghbatsi St,3,Yerevan,87,http://www.myrealty.am/en/item/32138/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,9,2.8
1626,54989,newly repaired,Arabkir,6,Aygedzor St,1,Yerevan,36,http://www.myrealty.am/en/item/17116/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,3,2.8
4780,233621,zero condition,Center,11,Northern Ave,3,Yerevan,115,http://www.myrealty.am/en/item/21001/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,monolit,5,3
1490,47602,newly repaired,Arabkir,5,Komitas Ave,1,Yerevan,38,http://www.myrealty.am/en/item/15089/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,3.2
5629,136606,good,Center,6,Teryan St,3,Yerevan,71,http://www.myrealty.am/en/item/1213/apartment-for-sale-in-Yerevan,1,stone,4,2.8
4222,71382,good,Achapnyak,6,Mazmanyan St,3,Yerevan,75,http://www.myrealty.am/en/item/33623/3-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,stone,1,3
1578,42426,good,Nor Norq,6,Galshoyan St,3,Yerevan,74,http://www.myrealty.am/en/item/38099/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,2,2.8
1758,131798,newly repaired,Center,6,Mashtots Ave,3,Yerevan,103,http://www.myrealty.am/en/item/31890/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,3.2
4985,93058,newly repaired,Davtashen,20,Sasna tsrer St,3,Yerevan,65,http://www.myrealty.am/en/item/25521/3-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,other,15,2.8
6363,201236,newly repaired,Center,13,Sayat Nova Ave,3,Yerevan,100,http://www.myrealty.am/en/item/14878/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,5,2.8
1698,60973,good,Nor Norq,6,Gyuliqevxyan St,4,Yerevan,108,http://www.myrealty.am/en/item/34998/4-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,stone,1,2.8
2398,53537,zero condition,Center,6,D. Demirchyan St,1,Yerevan,39,http://www.myrealty.am/en/item/37827/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,3,3.2
3954,69844,good,Arabkir,10,Aygedzor St,3,Yerevan,99,http://www.myrealty.am/en/item/23315/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,9,2.8
5284,45558,good,Arabkir,5,Orbeli Yeghbayrner   St,2,Yerevan,44,http://www.myrealty.am/en/item/29061/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,1,3
6738,77793,zero condition,Center,6,Saryan St,2,Yerevan,56,http://www.myrealty.am/en/item/2022/apartment-for-sale-in-Yerevan,1,stone,3,2.8
5940,57198,good,Arabkir,15,Mamikoniants St,3,Yerevan,78,http://www.myrealty.am/en/item/32897/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,10,2.8
2614,61144,good,Arabkir,6,A. Khachatrian St,2,Yerevan,57,http://www.myrealty.am/en/item/10631/Apartment-for-sale-in-Yerevan,1,stone,4,2.8
1228,213154,good,Center,12,Hin yerevantsi St,2,Yerevan,75,http://www.myrealty.am/en/item/16835/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,11,2.8
2866,184570,good,Center,7,Moskovyan St,3,Yerevan,100,http://www.myrealty.am/en/item/2100/apartment-for-sale-in-Yerevan,1,stone,5,2.8
5134,123782,newly repaired,Davtashen,10,Davtashen 3 district,4,Yerevan,118,http://www.myrealty.am/en/item/37125/4-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,panel,2,3
1622,56428,newly repaired,Arabkir,6,Mamikoniants St,2,Yerevan,43,http://www.myrealty.am/en/item/33463/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,2.8
3673,255480,newly repaired,Center,11,Northern Ave,2,Yerevan,100,http://www.myrealty.am/en/item/37500/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,10,2.8
1202,46163,good,Achapnyak,5,Margaryan St,3,Yerevan,74,http://www.myrealty.am/en/item/22422/3-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,stone,3,2.6
2424,63153,good,Davtashen,5,Dzor 1 district,2,Yerevan,54,http://www.myrealty.am/en/item/27878/2-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,monolit,1,2.8
751,37117,zero condition,Shengavit,10,Bagratuniats Ave,3,Yerevan,75,http://www.myrealty.am/en/item/37054/3-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,panel,1,2.8
1607,146443,newly repaired,Center,6,Zakyan St,3,Yerevan,70,http://www.myrealty.am/en/item/90/apartment-for-sale-in-Yerevan,1,stone,2,2.8
2322,60657,newly repaired,Arabkir,17,V.Vagharshyan St,2,Yerevan,60,http://www.myrealty.am/en/item/31438/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,other,7,2.8
2837,68035,good,Arabkir,6,Komitas Ave,3,Yerevan,85,http://www.myrealty.am/en/item/24418/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,5,2.8
3396,87756,good,Arabkir,6,Babayan St,4,Yerevan,136,http://www.myrealty.am/en/item/14242/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,3
4749,84810,newly repaired,Shengavit,5,Artashisyan St,4,Yerevan,98,http://www.myrealty.am/en/item/28933/4-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,stone,1,2.8
498,90666,newly repaired,Center,5,Paronyan St,3,Yerevan,73,http://www.myrealty.am/en/item/30674/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,1,3.2
5708,74331,good,Arabkir,6,Kievyan St,1,Yerevan,43,http://www.myrealty.am/en/item/14376/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,2.8
4009,69800,newly repaired,Center,15,Argishti St,2,Yerevan,57,http://www.myrealty.am/en/item/9385/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,10,3
3178,53114,good,Arabkir,6,Hr.Kochar St,3,Yerevan,60,http://www.myrealty.am/en/item/33305/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,2.8
4456,359033,newly repaired,Center,11,Northern Ave,2,Yerevan,104,http://www.myrealty.am/en/item/18548/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,other,8,3
5542,49434,newly repaired,Center,11,Kajaznuni St,2,Yerevan,48,http://www.myrealty.am/en/item/33329/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,1,2.8
5792,144773,good,Center,11,Koghbatsi St,3,Yerevan,100,http://www.myrealty.am/en/item/30140/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,panel,5,2.8
394,102621,newly repaired,Center,15,Argishti St,3,Yerevan,103,http://www.myrealty.am/en/item/36552/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,monolit,5,2.8
1785,121122,newly repaired,Center,14,Mashtots Ave,2,Yerevan,64,http://www.myrealty.am/en/item/35973/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,monolit,13,3
3746,80467,good,Arabkir,12,Hr.Kochar St,1,Yerevan,66,http://www.myrealty.am/en/item/36141/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,other,7,2.8
1714,80020,newly repaired,Arabkir,10,Gyulbenkyan St,3,Yerevan,76,http://www.myrealty.am/en/item/36825/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,9,2.8
4555,74014,good,Center,17,E. Qochar St,3,Yerevan,94,http://www.myrealty.am/en/item/36165/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,16,2.8
2234,194687,zero condition,Center,15,Aram St,3,Yerevan,115,http://www.myrealty.am/en/item/4985/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,14,3
4333,67745,good,Davtashen,6,Davtashen 2 St,3,Yerevan,76,http://www.myrealty.am/en/item/23950/3-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,stone,2,2.8
2430,57468,newly repaired,Center,11,Amiryan St,1,Yerevan,43,http://www.myrealty.am/en/item/24581/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,2,2.8
4180,64210,newly repaired,Arabkir,17,V.Vagharshyan St,2,Yerevan,50,http://www.myrealty.am/en/item/7711/apartment-for-sale-in-Yerevan,1,panel,4,2.8
2449,58418,zero condition,Center,11,Israelyan St,2,Yerevan,54,http://www.myrealty.am/en/item/14162/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,6,2.8
6235,39950,newly repaired,Achapnyak,15,Sisakyan St,1,Yerevan,48,http://www.myrealty.am/en/item/32466/1-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,monolit,14,3
4041,100965,zero condition,Center,10,Pushkin St,3,Yerevan,90,http://www.myrealty.am/en/item/169/apartment-for-sale-in-Yerevan,1,panel,1,2.8
3903,72233,good,Arabkir,6,Komitas Ave,3,Yerevan,81,http://www.myrealty.am/en/item/37198/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,2.8
4938,41307,good,Shengavit,11,Chexov St,2,Yerevan,63,http://www.myrealty.am/en/item/36100/2-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,panel,4,2.8
4212,68063,good,Arabkir,11,Orbeli Yeghbayrner   St,3,Yerevan,79,http://www.myrealty.am/en/item/24585/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,7,2.8
3249,83068,newly repaired,Avan,15,Tsarav Aghbyur St,2,Yerevan,85,http://www.myrealty.am/en/item/25434/2-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,monolit,4,3
280,34004,newly repaired,Achapnyak,13,Shinararner St,1,Yerevan,35,http://www.myrealty.am/en/item/30830/1-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,monolit,2,2.8
2980,80943,zero condition,Nor Norq,5,Lvovyan St,3,Yerevan,96,http://www.myrealty.am/en/item/18102/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,2,monolit,1,3
6652,62982,good,Center,10,Kajaznuni St,2,Yerevan,77,http://www.myrealty.am/en/item/20106/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,2,2.8
3876,93418,newly repaired,Arabkir,16,Mamikoniants St,3,Yerevan,80,http://www.myrealty.am/en/item/28483/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,14,3
6254,174145,good,Norq Marash,5,Norq 10 St,3,Yerevan,124,http://www.myrealty.am/en/item/7497/3-senyakanoc-bnakaran-vacharq-Yerevan-Norq%20Marash,2,other,3,3
